"","skill","job_listings","prop_listings"
"1","agile project management",24177,0.2996467744934
"2","new business development",22068,0.273508087005019
"3","web development",22028,0.273012331908037
"4","business development",21920,0.271673793146186
"5","data management",21711,0.269083472764454
"6","learning management systems",21435,0.265662762595278
"7","business process management",21228,0.263097229968396
"8","decision management systems",21219,0.262985685071575
"9","project management",21192,0.262651050381112
"10","software development",20966,0.259850034083163
"11","program management",20396,0.252785523951168
"12","product development",19660,0.243663630166698
"13","android development",19628,0.243267026089112
"14","customer relationship management (crm)",19324,0.239499287352048
"15","content development",19212,0.238111173080498
"16","creative concept development",19157,0.237429509822148
"17","leadership development",19106,0.236797422073496
"18","organizational development",18957,0.234950734337237
"19","community development",18947,0.234826795562992
"20","career development",18939,0.234727644543595
"21","land development",18934,0.234665675156473
"22","it management",18851,0.233636983330235
"23","sales management",18723,0.232050567019892
"24","customer relationship management",18710,0.231889446613373
"25","management consulting",18562,0.230055152754539
"26","sql server integration services (ssis)",18512,0.229435458883312
"27","performance management",18119,0.224564665055463
"28","product management",18083,0.224118485468179
"29","information management",18075,0.224019334448782
"30","knowledge management",18068,0.22393257730681
"31","marketing management",17886,0.221676891615542
"32","team management",17746,0.219941748776105
"33","risk management",17686,0.219198116130631
"34","learning management",17682,0.219148540620933
"35","global human resources management",17674,0.219049389601537
"36","time management",17668,0.21897502633699
"37","event management",17500,0.216892854929665
"38","change management",17497,0.216855673297391
"39","executive management",17496,0.216843279419967
"40","portfolio management",17478,0.216620189626325
"41","vendor management",17475,0.216583007994051
"42","asset management",17474,0.216570614116626
"43","metadata management",17473,0.216558220239202
"44","start-ups management",17471,0.216533432484353
"45","people management",17464,0.216446675342381
"46","talent management",17458,0.216372312077834
"47","decision management",17455,0.21633513044556
"48","brand management",17450,0.216273161058437
"49","personnel management",17437,0.216112040651918
"50","wealth management",17432,0.216050071264795
"51","stormwater management",17432,0.216050071264795
"52","waste management",17429,0.216012889632522
"53","management",17428,0.216000495755097
"54","microsoft sql server",14726,0.182512238953957
"55","sql server 2000-2008",13485,0.167131437070087
"56","social network analysis",13480,0.167069467682965
"57","analysis services",13057,0.161826857532379
"58","project planning",12836,0.159087810621553
"59","statistical data analysis",12653,0.15681973105286
"60","data analysis",12635,0.156596641259218
"61","apache http server",12601,0.156175249426783
"62","network security",12389,0.153547747412778
"63","sql tuning",12072,0.149618888269195
"64","business analysis",12002,0.148751316849476
"65","sql",11949,0.148094441345975
"66","java",11585,0.143583069963438
"67","software as a service (saas)",11457,0.141996653653095
"68","network architecture",10916,0.135291565966413
"69","systems engineering",10746,0.133184606804239
"70","customer analysis",10498,0.13011092520295
"71","data research",10343,0.128189874202144
"72","system architecture",10239,0.126900910949991
"73","multivariate testing",10155,0.125859825246328
"74","database systems",9832,0.121856602838198
"75","business consulting",9734,0.120642002850592
"76","requirements analysis",9683,0.12000991510194
"77","software architecture",9557,0.118448286546446
"78","amazon web services (aws)",9537,0.118200408997955
"79","windows server",9532,0.118138439610832
"80","computer security",9471,0.117382413087935
"81","software consulting",9396,0.116452872281093
"82","business process design",9172,0.113676643737993
"83","mathematical modelling and simulation",9066,0.112362892730991
"84","information security",9028,0.111891925388858
"85","market opportunity analysis",9008,0.111644047840367
"86","financial analysis",8992,0.111445745801574
"87","market analysis",8919,0.110540992749582
"88","interactive data visualization design",8893,0.110218751936543
"89","time series analysis",8764,0.108619941748776
"90","security clearance",8743,0.108359670322861
"91","internet security",8670,0.107454917270868
"92","advanced statistical analysis",8636,0.107033525438433
"93","securities regulation",8611,0.10672367850282
"94","cyber security",8596,0.106537770341451
"95","national security",8587,0.10642622544463
"96","security",8575,0.106277498915536
"97","homeland security",8575,0.106277498915536
"98","software engineering",8559,0.106079196876743
"99","cluster analysis",8547,0.105930470347648
"100","image analysis",8530,0.105719774431431
"101","mathematical analysis",8517,0.105558654024912
"102","regression analysis",8452,0.104753051992316
"103","quantitative analysis",8448,0.104703476482618
"104","fraud analysis",8418,0.104331660159881
"105","decision analysis",8418,0.104331660159881
"106","spatial analysis",8407,0.104195327508211
"107","competitive analysis",8396,0.104058994856541
"108","numerical analysis",8391,0.103997025469418
"109","analysis",8389,0.103972237714569
"110","jboss application server",8274,0.102546941810745
"111","web services",8106,0.100464770403421
"112","database design",7781,0.0964367602404412
