"","data.scientist","location","skill","endorsements"
"1","Bernard Marr","Milton Keynes, United Kingdom","Management","561"
"2","Bernard Marr","Milton Keynes, United Kingdom","Analytics","386"
"3","Bernard Marr","Milton Keynes, United Kingdom","Big Data","196"
"4","Bernard Marr","Milton Keynes, United Kingdom","Performance Management","566"
"5","Bernard Marr","Milton Keynes, United Kingdom","Strategy","925"
"6","Bernard Marr","Milton Keynes, United Kingdom","Business Intelligence","767"
"7","Bernard Marr","Milton Keynes, United Kingdom","Performance Measurement","142"
"8","Bernard Marr","Milton Keynes, United Kingdom","Balanced Scorecard","170"
"9","Bernard Marr","Milton Keynes, United Kingdom","Public Speaking","104"
"10","Bernard Marr","Milton Keynes, United Kingdom","Management Consulting","252"
"11","Bernard Marr","Milton Keynes, United Kingdom","Change Management","593"
"12","Bernard Marr","Milton Keynes, United Kingdom","Business Strategy","516"
"13","Bernard Marr","Milton Keynes, United Kingdom","Strategic Planning","371"
"14","Bernard Marr","Milton Keynes, United Kingdom","Leadership","337"
"15","Bernard Marr","Milton Keynes, United Kingdom","Dashboards","68"
"16","Bernard Marr","Milton Keynes, United Kingdom","Analysis","207"
"17","Bernard Marr","Milton Keynes, United Kingdom","Key Performance Indicators","88"
"18","Bernard Marr","Milton Keynes, United Kingdom","People Management","90"
"19","Bernard Marr","Milton Keynes, United Kingdom","Performance Improvement","82"
"20","Bernard Marr","Milton Keynes, United Kingdom","Training","225"
"21","Bernard Marr","Milton Keynes, United Kingdom","KPI","74"
"22","Bernard Marr","Milton Keynes, United Kingdom","Project Planning","183"
"23","Bernard Marr","Milton Keynes, United Kingdom","IT Strategy","104"
"24","Bernard Marr","Milton Keynes, United Kingdom","KPI implementation","53"
"25","Bernard Marr","Milton Keynes, United Kingdom","Data Analysis","167"
"26","Bernard Marr","Milton Keynes, United Kingdom","Market Research","90"
"27","Bernard Marr","Milton Keynes, United Kingdom","Business Analysis","165"
"28","Bernard Marr","Milton Keynes, United Kingdom","Coaching","132"
"29","Bernard Marr","Milton Keynes, United Kingdom","Business Process Improvement","113"
"30","Bernard Marr","Milton Keynes, United Kingdom","Executive Management","106"
"31","Bernard Marr","Milton Keynes, United Kingdom","Business Planning","122"
"32","Bernard Marr","Milton Keynes, United Kingdom","Knowledge Management","63"
"33","Bernard Marr","Milton Keynes, United Kingdom","CRM","132"
"34","Bernard Marr","Milton Keynes, United Kingdom","Business Transformation","62"
"35","Bernard Marr","Milton Keynes, United Kingdom","Human Resources","91"
"36","Bernard Marr","Milton Keynes, United Kingdom","Finance","82"
"37","Bernard Marr","Milton Keynes, United Kingdom","Benchmarking","46"
"38","Bernard Marr","Milton Keynes, United Kingdom","Consulting","93"
"39","Bernard Marr","Milton Keynes, United Kingdom","Business Analytics","50"
"40","Bernard Marr","Milton Keynes, United Kingdom","SAP","45"
"41","Bernard Marr","Milton Keynes, United Kingdom","Strategic Thinking","47"
"42","Bernard Marr","Milton Keynes, United Kingdom","Business Process","51"
"43","Bernard Marr","Milton Keynes, United Kingdom","Governance","38"
"44","Bernard Marr","Milton Keynes, United Kingdom","Enterprise Software","55"
"45","Bernard Marr","Milton Keynes, United Kingdom","Dashboard","38"
"46","Bernard Marr","Milton Keynes, United Kingdom","Inspiring People","46"
"47","Bernard Marr","Milton Keynes, United Kingdom","Visionary","47"
"48","Bernard Marr","Milton Keynes, United Kingdom","Big Data Analytics","33"
"49","Josh Bersin","Oakland, California","Talent Management","698"
"50","Josh Bersin","Oakland, California","Leadership Development","516"
"51","Josh Bersin","Oakland, California","Leadership","475"
"52","Josh Bersin","Oakland, California","Management Consulting","349"
"53","Josh Bersin","Oakland, California","Human Resources","284"
"54","Josh Bersin","Oakland, California","Consulting","261"
"55","Josh Bersin","Oakland, California","Organizational Development","229"
"56","Josh Bersin","Oakland, California","Training","203"
"57","Josh Bersin","Oakland, California","Strategy","190"
"58","Josh Bersin","Oakland, California","Learning Management","177"
"59","Josh Bersin","Oakland, California","Business Development","176"
"60","Josh Bersin","Oakland, California","Recruiting","141"
"61","Josh Bersin","Oakland, California","Product Management","123"
"62","Josh Bersin","Oakland, California","E-Learning","117"
"63","Josh Bersin","Oakland, California","Executive Management","94"
"64","Josh Bersin","Oakland, California","Change Management","92"
"65","Josh Bersin","Oakland, California","Thought Leadership","83"
"66","Josh Bersin","Oakland, California","Personnel Management","82"
"67","Josh Bersin","Oakland, California","Performance Management","69"
"68","Josh Bersin","Oakland, California","Executive Coaching","63"
"69","Josh Bersin","Oakland, California","Start-ups","54"
"70","Josh Bersin","Oakland, California","Public Speaking","52"
"71","Josh Bersin","Oakland, California","Organizational Effectiveness","52"
"72","Josh Bersin","Oakland, California","Marketing Strategy","47"
"73","Josh Bersin","Oakland, California","Blended Learning","45"
"74","Josh Bersin","Oakland, California","HR Transformation","42"
"75","Josh Bersin","Oakland, California","Employee Engagement","38"
"76","Josh Bersin","Oakland, California","Entrepreneurship","37"
"77","Josh Bersin","Oakland, California","Sales Management","33"
"78","Josh Bersin","Oakland, California","Organizational Design","31"
"79","Josh Bersin","Oakland, California","Product Marketing","28"
"80","Josh Bersin","Oakland, California","Succession Planning","28"
"81","Josh Bersin","Oakland, California","Collaborative Learning","20"
